iter	Passed	Remaining
0	46	4604
1	65	3202
2	80	2615
3	100	2413
4	120	2284
5	135	2127
6	152	2028
7	167	1927
8	184	1868
9	199	1797
10	217	1759
11	231	1698
12	249	1672
13	264	1626
14	280	1587
15	295	1553
16	312	1523
17	329	1501
18	344	1469
19	360	1443
20	376	1417
21	392	1390
22	407	1365
23	421	1336
24	442	1328
25	456	1299
26	471	1274
27	486	1251
28	502	1230
29	517	1207
30	531	1183
31	546	1162
32	565	1147
33	579	1124
34	593	1102
35	609	1084
36	624	1064
37	639	1044
38	657	1028
39	670	1005
40	684	984
41	697	963
42	711	943
43	726	924
44	740	905
45	756	887
46	770	868
47	784	849
48	799	832
49	813	813
50	828	796
51	843	778
52	859	761
53	874	744
54	892	730
55	906	712
56	921	694
57	935	677
58	951	661
59	966	644
60	982	628
61	998	611
62	1011	594
63	1027	578
64	1041	560
65	1055	543
66	1068	526
67	1085	510
68	1100	494
69	1113	477
70	1127	460
71	1140	443
72	1152	426
73	1166	409
74	1180	393
75	1196	377
76	1211	361
77	1225	345
78	1239	329
79	1253	313
80	1266	296
81	1278	280
82	1295	265
83	1310	249
84	1323	233
85	1334	217
86	1347	201
87	1359	185
88	1373	169
89	1388	154
90	1402	138
91	1419	123
92	1433	107
93	1446	92
94	1461	76
95	1476	61
96	1490	46
97	1505	30
98	1519	15
99	1535	0
