iter	Passed	Remaining
0	23	2357
1	39	1932
2	54	1747
3	74	1795
4	92	1763
5	111	1747
6	142	1889
7	165	1900
8	187	1893
9	207	1868
10	253	2047
11	292	2145
12	318	2131
13	338	2078
14	351	1994
15	367	1929
16	383	1871
17	404	1841
18	421	1795
19	437	1748
20	451	1698
21	465	1649
22	483	1620
23	503	1593
24	519	1558
25	536	1526
26	557	1508
27	590	1518
28	623	1527
29	660	1540
30	690	1536
31	711	1512
32	740	1503
33	770	1496
34	799	1483
35	829	1474
36	865	1473
37	900	1469
38	922	1442
39	939	1409
40	959	1380
41	977	1350
42	992	1315
43	1010	1286
44	1029	1257
45	1044	1226
46	1060	1196
47	1073	1163
48	1091	1136
49	1107	1107
50	1120	1076
51	1137	1050
52	1153	1023
53	1167	994
54	1184	969
55	1198	941
56	1215	916
57	1235	894
58	1254	871
59	1274	849
60	1296	829
61	1316	806
62	1340	787
63	1366	768
64	1380	743
65	1403	723
66	1417	697
67	1436	675
68	1461	656
69	1478	633
70	1491	609
71	1509	586
72	1522	563
73	1537	540
74	1560	520
75	1576	497
76	1597	477
77	1613	455
78	1633	434
79	1651	412
80	1668	391
81	1685	369
82	1700	348
83	1720	327
84	1738	306
85	1753	285
86	1768	264
87	1784	243
88	1803	222
89	1825	202
90	1847	182
91	1865	162
92	1883	141
93	1906	121
94	1930	101
95	1955	81
96	1977	61
97	1997	40
98	2015	20
99	2048	0
